"pid","grp","duration","entry","exit"
20,"inactive",5,0,26
24,"inactive",5,0,26
27,"inactive",5,0,26
29,"inactive",5,0,27
34,"inactive",5,0,30
35,"inactive",5,0,27
44,"inactive",6,1,29
55,"inactive",6,1,35
63,"inactive",6,1,34
69,"inactive",6,1,30
91,"inactive",7,2,35
95,"inactive",7,2,32
102,"inactive",8,3,36
109,"inactive",8,3,42
120,"inactive",8,3,37
124,"inactive",8,3,40
129,"inactive",8,3,39
153,"inactive",9,4,42
158,"inactive",9,4,45
163,"inactive",9,4,44
169,"inactive",9,4,41
180,"inactive",10,5,42
184,"inactive",10,5,43
187,"inactive",10,5,46
190,"inactive",10,5,52
201,"inactive",10,5,47
208,"inactive",10,5,48
217,"inactive",11,6,48
218,"inactive",11,6,48
222,"inactive",11,6,47
227,"inactive",11,6,49
253,"inactive",12,7,56
254,"inactive",12,7,60
281,"inactive",13,8,60
288,"inactive",13,8,56
314,"inactive",15,10,61
315,"inactive",15,10,61
318,"inactive",15,10,63
323,"inactive",15,10,61
327,"inactive",15,10,66
339,"inactive",15,10,62
344,"inactive",15,10,63
360,"inactive",16,11,64
362,"inactive",16,11,68
364,"inactive",16,11,66
375,"inactive",17,12,68
378,"inactive",17,12,67
383,"inactive",17,12,74
386,"inactive",17,12,72
388,"inactive",17,12,66
392,"inactive",17,12,69
395,"inactive",17,12,75
408,"inactive",18,13,70
416,"inactive",18,13,71
420,"inactive",18,13,71
423,"inactive",18,13,72
435,"inactive",19,14,75
444,"inactive",19,14,76
448,"inactive",19,14,76
449,"inactive",19,14,78
453,"inactive",19,14,81
463,"inactive",20,15,82
464,"inactive",20,15,80
471,"inactive",20,15,84
474,"inactive",20,15,80
484,"inactive",21,16,84
490,"inactive",21,16,84
492,"inactive",21,16,81
502,"inactive",21,16,82
506,"inactive",21,16,87
508,"inactive",22,17,83
520,"inactive",22,17,89
530,"inactive",22,17,91
535,"inactive",22,17,90
537,"inactive",23,18,93
546,"inactive",23,18,88
552,"inactive",23,18,89
563,"inactive",24,19,93
565,"inactive",24,19,97
575,"inactive",24,19,95
581,"inactive",24,19,95
591,"inactive",24,19,101
597,"inactive",24,19,98
598,"inactive",25,20,92
601,"inactive",25,20,95
606,"inactive",25,20,100
608,"inactive",25,20,96
612,"inactive",25,20,97
622,"inactive",25,20,101
627,"inactive",25,20,99
631,"inactive",26,21,102
637,"inactive",26,21,100
654,"inactive",26,21,109
656,"inactive",27,22,105
666,"inactive",27,22,104
680,"inactive",27,22,112
682,"inactive",27,22,104
685,"inactive",27,22,107
690,"inactive",27,22,104
705,"inactive",28,23,107
707,"inactive",28,23,113
713,"inactive",28,23,110
718,"inactive",28,23,110
721,"inactive",28,23,111
722,"inactive",28,23,111
735,"inactive",29,24,113
736,"inactive",29,24,113
745,"inactive",29,24,113
750,"inactive",29,24,118
754,"inactive",29,24,115
762,"inactive",29,24,114
767,"inactive",29,24,118
769,"inactive",29,24,116
776,"inactive",30,25,122
786,"inactive",30,25,115
799,"inactive",30,25,121
825,"inactive",31,26,126
831,"inactive",32,27,127
837,"inactive",32,27,124
841,"inactive",32,27,127
852,"inactive",33,28,129
865,"inactive",33,28,130
875,"inactive",33,28,129
880,"inactive",33,28,134
897,"inactive",34,29,130
905,"inactive",34,29,133
907,"inactive",34,29,137
908,"inactive",34,29,135
912,"inactive",34,29,132
920,"inactive",34,29,138
929,"inactive",35,30,141
933,"inactive",35,30,137
935,"inactive",35,30,140
966,"inactive",36,31,143
970,"inactive",36,31,142
981,"inactive",37,32,148
982,"inactive",37,32,144
986,"inactive",37,32,143
1000,"inactive",37,32,150
1004,"inactive",37,32,148
1038,"inactive",38,33,151
1040,"inactive",39,34,149
1059,"inactive",39,34,152
1060,"inactive",39,34,152
1065,"inactive",39,34,153
1090,"inactive",41,36,158
1124,"inactive",42,37,159
1125,"inactive",42,37,159
1127,"inactive",42,37,159
1138,"inactive",42,37,163
1143,"inactive",42,37,163
1145,"inactive",42,37,165
1152,"inactive",43,38,162
